Video Name,Episode number,Speaker,Key words
The Hofmann Rearrangement,1,Matthew Horwitz,"Amide, Amine, Hofmann, Rearrangement"
https://www.youtube.com/watch?v=7_deI2poP-U,2,Matthew Horwitz,"Claisen Reaction, Luche Reduction, Prins annulation, Sharpless Dihydroxylation, Swern Oxidation, esterification"
https://www.youtube.com/watch?v=qQdwL0HgB1c,3,Matthew Horwitz,"Cascade Reaction, DEAD, Name Reaction, SN2, alcohol"
https://www.youtube.com/watch?v=Au5QSvD--Gc,4,Matthew Horwitz,"Aldol, Barton-McCombie Deoxygentation, CBS reduction, Deoxygenation, hemiketal, umpolung"
https://www.youtube.com/watch?v=96n9u48IJN0,4.5,Matthew Horwitz,"Aldol, Barton-McCombie Deoxygentation, CBS reduction, Deoxygenation, hemiketal, umpolung"
https://www.youtube.com/watch?v=aIdHnyOwAOk,5,Matthew Horwitz,"Dess-Martin Oxidation, Pinnick Oxidation, Stahl oxidation, [2+2] cycloaddition, epimerization"
https://www.youtube.com/watch?v=wFQ1ideUv10,5.5,Matthew Horwitz,"Dess-Martin Oxidation, Pinnick Oxidation, Stahl oxidation, [2+2] cycloaddition, epimerization"
https://www.youtube.com/watch?v=nfoBunOTkVk,6,Matthew Horwitz,"FMOs, cyclization, divinyl Ketone, electrocyclization, enone, homo-Nazarov, iso-Nazarov"
https://www.youtube.com/watch?v=7vAfAG6CSvo,6.5,Matthew Horwitz,"FMOs, cyclization, divinyl Ketone, electrocyclization, enone, homo-Nazarov, iso-Nazarov"
https://www.youtube.com/watch?v=iiZUaqeXGzs,7,Matthew Horwitz,"Adams' catalyst, C-H activation, Cascade Reaction, Desymmetrization, Giese addition, HAT, Mander's reagent, decarboxylation"
https://www.youtube.com/watch?v=AixsGL-iQrI,7.5,Matthew Horwitz,"Adams' catalyst, C-H activation, Desymmetrization, Giese addition, HAT, Mander's reagent, decarboxylation"
https://www.youtube.com/watch?v=ebsyGNeHAwA,8,Noam Saper,"Anti-Markovnikov, C-H activation, hydroarylation"
https://www.youtube.com/watch?v=HL6xcZjl_x4,9,Matthew Horwitz,"C-H amination, Carbamate, Mukaiyama Aldol, alkoxycarbonylation"
https://www.youtube.com/watch?v=GBtnpqY-IV4,9.5,Matthew Horwitz,"C-H amination, Carbamate, Mukaiyama Aldol, alkoxycarbonylation"
https://www.youtube.com/watch?v=PZItREnuEHI,10,Dr. Blane Zavesky,"Biomimetic synthesis, Diels-Alder, Reverse prenylation, acylation, tautomerization"
https://www.youtube.com/watch?v=84EIlfTx4Eo,11,Matthew Horwitz,"Asymmetric Suzuki-Miyaura reaction, Dess-Martin Oxidation, Iodolactonization, Prostaglandin, Swern Oxidation, Wittig reaction"
https://www.youtube.com/watch?v=NyRKY52xzy0,11.5,Matthew Horwitz,"Asymmetric Suzuki-Miyaura reaction, Dess-Martin Oxidation, Iodolactonization, Prostaglandin, Swern Oxidation, Wittig reaction"
https://www.youtube.com/watch?v=X5Di4hn2hAc,12,Joshua McManus,"Cobalt Catalysis, Dual Catalysis, Photoredox catalysis, Wacker Oxidation"
https://www.youtube.com/watch?v=A2ksWMI8xnI,13,Matthew Horwitz,"cyclohexadiene, epimerization, hydrocyanation, hydroiodination, hydromethallylation, total synthesis"
https://www.youtube.com/watch?v=TcxcbQ0412U,14,Matthew Horwitz,"Corey-Fuchs reaction, Diels-Alder, Metathesis reaction, Steglich esterification, [2+2] cycloaddition, hydrosilylation"
https://www.youtube.com/watch?v=ZxrraGqi8cg,14.5,Matthew Horwitz,"Corey-Fuchs reaction, Diels-Alder, Metathesis reaction, Steglich esterification, [2+2] cycloaddition, hydrosilylation"
https://www.youtube.com/watch?v=w8ZaLm7qlLk,15,Matthew Horwitz,"Dakin oxidation, Phenol, Shi epoxidation, esters, ketones, lactones, migratory apptitude"
https://www.youtube.com/watch?v=PVKIe49YGtg,16,Matthew Horwitz,"Diels-Alder, cycloaddition, electrocyclization"
https://www.youtube.com/watch?v=c23M74x0n5k,16.5,Matthew Horwitz,"Diels-Alder, cycloaddition, electrocyclization"
https://www.youtube.com/watch?v=N74E-4_TQ3k,17,Matthew Horwitz,"DABCO, MBH reaction, Michael addition, Rauhut-Currier, Tsuji-Trost, enone"
https://www.youtube.com/watch?v=rodNvF6ZW6Q,18,,
https://www.youtube.com/watch?v=sKYV1XeMGHs,19,Michael Liang,"Allyldiboron, Chan-Evans-Lam coupling, Diastereoselective, Michael addition, Suzuki-Miyaura reaction, Unsaturated Ketones"
https://www.youtube.com/watch?v=ulxxfL6X3Ig,20,"Matthew Horwitz ","Julia-Kocienski Olefination, Lemieux-Johnson type oxidation, Local Desymmetrization, Mitsunobu Reaction, Swern Oxidation"
https://www.youtube.com/watch?v=ohHihximdmU,20.5,Matthew Horwitz,"Julia-Kocienski Olefination, Lemieux-Johnson type oxidation, Local Desymmetrization, Mitsunobu Reaction, Swern Oxidation"
https://www.youtube.com/watch?v=fYhV8nAhlQI,21,Mohammed Sharigue,"Dieckman condensation, Michael addition, NHC catalysis, Stetter reaction, base promoted tautomerization, umpolung"
https://www.youtube.com/watch?v=Qh_Yvhedtyo,22,Matthew Horwitz,"Barton-McCombie Deoxygentation, Bestmann-Ohira reagent, Claisen Condensation, Diels-Alder, Fleming-Tamao Oxidation, Mannich Reaction, Swern Oxidation, Wagner-Meerwein Rearrangement"
https://www.youtube.com/watch?v=qxLpKgCkgHU,22.5,Matthew Horwitz,"Barton-McCombie Deoxygentation, Bestmann-Ohira reagent, Claisen Condensation, Diels-Alder, Fleming-Tamao Oxidation, Mannich Reaction, Swern Oxidation, Wagner-Meerwein Rearrangement"
https://www.youtube.com/watch?v=BDZibkCTevw,23,Dr. Josep Mas-Roselló,"Chiral Ir-Catalyst, Hydroxylamines, Oximes, enantioselectivity"
https://www.youtube.com/watch?v=WaHY8GGDOCI,24,Vlad Lisnyak,"Aldol, Cascade, Diels-Alder, Hantzsch ester, Iminium, Mannich, enamine"
https://www.youtube.com/watch?v=gHZ0h71_oo0,25,Michele Garbo,"Cu-Catalysis, cycloaddition, cyclopropanation, diene"
https://www.youtube.com/watch?v=2asmyACX1ls,26,"Matthew Horwitz ","Alkylphenyl Sulfone, Julia Olefination, Julia-Kocienski Olefination, Smiles Rearrangement, alkene"
https://www.youtube.com/watch?v=93R1yiKS3TI,27,Matthew Horwitz,"Dihydroxylation, Epoxidation, Mukaiyama Hydration, Radical Chlorination, TFDO oxidation, lactones"
https://www.youtube.com/watch?v=1jXO8883G0A,28,Matthew Horwitz,"Amines, Aryl Chlorides, Nickel-Black, Oxidative Quenching, Reductive Quenching"
https://www.youtube.com/watch?v=wwuIT8CVQAs,29,Matthew Horwitz,"2-Norbornyl rearrangement, Nonclassical Carbocation, cyclopropanation, enolonium"
https://www.youtube.com/watch?v=0Ksl_2Bs-dQ,30,Matthew Horwitz,"Chelation-controlled aldol cyclization, Crotylation, Grignard Addition, Ketyl Radical Cyclization, Kornblum Oxidation, Saegusa-Ito-type oxidaton"
https://www.youtube.com/watch?v=fem3DYROyE8,30.5,Matthew Horwitz,"Chelation-controlled aldol cyclization, Crotylation, Grignard Addition, Ketyl Radical Cyclization, Kornblum Oxidation, Saegusa-Ito-type oxidaton"
https://www.youtube.com/watch?v=P9CindS9Nig,31,Matthew Horwitz,"EDA-Complex, Indole Dearomatization, Organocatalysis, Paterno-Buchi reaction, oxetanes"
https://www.youtube.com/watch?v=3gjuhu8DL40,32,Matthew Horwitz,"Cascade Reaction, Gold Catalysis, Prins-type reaction, Simmons-Smith Reaction, Still-Gennari Olefination"
https://www.youtube.com/watch?v=U7fLci-Xq7I,33,,
https://www.youtube.com/watch?v=Slkv-h6ohW8,34,Matthew Horwitz,"HWE Olefination, Perkow Reaction, Phosphine Oxide, Phosphinic acid ester, Phosphonates"
https://www.youtube.com/watch?v=-IOsBAN3Oaw,35,Matthew Horwitz,"Oximes, Photocatalysis, [2+2] photocycloaddition, azetidines, intramolecular cycloaddition"
https://www.youtube.com/watch?v=EYhVXwkkmSA,36,Matthew Horwitz,"Arylboronic acid, Fluorintion, Fluorobenzene, Protodemetallation, transmetallation"
https://www.youtube.com/watch?v=gYtGywCKV-0,37,Matthew Horwitz,"Au-Catalyzed cycloaddition, Hydrogenation, Shapiro Reaction, epimerization, lactones"
https://www.youtube.com/watch?v=_HMtVIXqJH8,38,Matthew Horwitz,"Achmatowicz rearrangement, Criegee Oxidation, Kulinkovich Reaction, Payne rearrangement, Stille Coupling"
https://www.youtube.com/watch?v=mbUKTY-S3tM,38.5,Matthew Horwitz,"Achmatowicz rearrangement, Criegee Oxidation, Kulinkovich Reaction, Payne rearrangement, Stille Coupling"
https://www.youtube.com/watch?v=Hx_ox_T1fBU,39,Matthew Horwitz,"Alkanes, C-H activation, Claisen Reaction, Flow Chemistry, HAT, Photocatalysis"
